Time,SpaceGap,Latitude,Rel_vel,Rel_accel,Score,Track,ID
1628251882.060096,124.24000000000001,-2.64,0.0,-0.99995,27.0,384.0,34
1628251882.060452,80.44,-2.96,0.37485,0.14285,0.0,386.0,1
1628251882.061466,45.96,0.44,-1.3744500000000002,0.0,100.0,387.0,8
1628251882.06164,107.0,0.48,-1.90995,0.14285,77.0,388.0,30
1628251882.065135,45.96,0.36,-1.33875,0.0,96.0,394.0,8
1628251882.109493,124.32000000000001,-2.48,0.0357,-2.14275,28.0,384.0,34
1628251882.110806,45.88,0.48,-1.3566,-0.2857,100.0,387.0,8
1628251882.110806,80.48,-2.84,0.37485,-0.14285,2.0,386.0,1
1628251882.111873,106.88,0.52,-1.90995,0.42855,76.0,388.0,30
1628251882.114873,45.88,0.52,-1.33875,0.0,97.0,394.0,8
1628251882.159794,124.36,-2.36,0.0357,0.99995,31.0,384.0,34
1628251882.160883,80.48,-2.72,0.35700000000000004,-0.14285,5.0,386.0,1
1628251882.161425,45.76,0.52,-1.3744500000000002,0.14285,100.0,387.0,8
1628251882.161543,106.72,0.76,-1.90995,0.0,76.0,388.0,30
1628251882.16467,45.800000000000004,0.44,-1.3566,-0.14285,97.0,394.0,8
1628251882.20982,124.36,-2.2800000000000002,0.0714,-0.14285,32.0,384.0,34
1628251882.21064,80.52,-2.6,0.35700000000000004,-0.14285,7.0,386.0,1
1628251882.21064,45.72,0.44,-1.3744500000000002,-0.14285,100.0,387.0,8
1628251882.2115,106.72,0.76,-1.8385500000000001,0.0,74.0,388.0,30
1628251882.214367,45.68,0.4,-1.3566,-0.14285,97.0,394.0,8
1628251882.259575,124.4,-2.2,0.0714,0.71425,34.0,384.0,34
1628251882.260921,80.56,-2.48,0.35700000000000004,-0.14285,9.0,386.0,1
1628251882.261932,45.6,0.44,-1.3744500000000002,0.0,100.0,387.0,8
1628251882.261932,106.52,0.88,-1.8742500000000002,1.28565,72.0,388.0,30
1628251882.264567,45.56,0.36,-1.3744500000000002,-0.2857,98.0,394.0,8
1628251882.309206,124.4,-2.12,0.0714,0.0,36.0,384.0,34
1628251882.310313,80.56,-2.4,0.35700000000000004,0.0,13.0,386.0,1
1628251882.31047,45.52,0.4,-1.3744500000000002,0.0,100.0,387.0,8
1628251882.3113,106.28,1.0,-1.94565,-0.5714,70.0,388.0,30
1628251882.314692,45.480000000000004,0.4,-1.3744500000000002,-0.14285,98.0,394.0,8
1628251882.359392,124.4,-2.08,0.0714,0.14285,38.0,384.0,34
1628251882.360512,80.64,-2.36,0.33915,0.0,16.0,386.0,1
1628251882.361452,45.4,0.44,-1.3744500000000002,0.0,100.0,387.0,8
1628251882.361452,106.12,1.0,-1.94565,-1.57135,69.0,388.0,30
1628251882.364515,45.36,0.48,-1.3923,-0.14285,98.0,394.0,8
1628251882.421699,124.44,-2.0,0.0714,0.0,40.0,384.0,34
1628251882.421844,80.68,-2.32,0.35700000000000004,-0.2857,19.0,386.0,1
1628251882.421844,45.28,0.32,-1.3923,-0.14285,100.0,387.0,8
1628251882.422003,106.0,1.0,-1.9635000000000002,0.0,67.0,388.0,30
1628251882.422911,45.24,0.4,-1.3923,-0.14285,98.0,394.0,8
1628251882.4597,124.44,-1.8800000000000001,0.0714,0.14285,41.0,384.0,34
1628251882.460811,80.68,-2.32,0.30345,0.14285,21.0,386.0,1
1628251882.461626,105.96000000000001,0.96,-1.94565,-0.2857,66.0,388.0,30
1628251882.464627,45.160000000000004,0.36,-1.41015,-0.42855,99.0,394.0,8
1628251882.509232,124.4,-1.76,0.08925000000000001,0.0,43.0,384.0,34
1628251882.510333,80.72,-2.32,0.30345,-0.8571,24.0,386.0,1
1628251882.510432,45.08,0.08,-1.3566,1.1428,100.0,387.0,8
1628251882.511237,105.84,0.92,-1.9635000000000002,0.42855,64.0,388.0,30
1628251882.514254,45.04,0.32,-1.4280000000000002,-0.14285,99.0,394.0,8
1628251882.559427,124.44,-1.84,0.0714,0.2857,44.0,384.0,34
1628251882.560424,80.76,-2.32,0.2856,0.0,27.0,386.0,1
1628251882.56131,45.0,0.04,-1.3744500000000002,-0.71425,100.0,387.0,8
1628251882.561435,105.72,0.92,-1.9635000000000002,-0.2857,63.0,388.0,30
1628251882.564441,44.96,0.28,-1.4280000000000002,0.0,99.0,394.0,8
1628251882.609229,124.44,-1.8,0.08925000000000001,-0.2857,46.0,384.0,34
1628251882.610365,80.8,-2.24,0.2856,-0.2857,29.0,386.0,1
1628251882.610536,44.88,0.04,-1.3923,-0.14285,100.0,387.0,8
1628251882.611598,105.56,0.92,-1.9635000000000002,0.0,62.0,388.0,30
1628251882.614385,44.88,0.48,-1.4280000000000002,-0.14285,99.0,394.0,8
1628251882.659837,124.48,-1.68,0.0714,0.14285,47.0,384.0,34
